Galaxia Z +sigma -sigma
1 8.0101 2.4981 0.4645
2 8.393 0.4708 0.5963
3 8.575 0.1883 0.2009
6 8.2863 0.226 0.1757
7 8.0854 0.2009 0.2009
9 7.8846 0.59 0.4143
10 8.2173 1.8386 0.5084
11 8.6252 1.1594 0.5398
12 7.8971 0.1506 0.2009
13 7.7465 0.2636 0.226
15 7.4201 0.3515 0.3013
16 7.4954 0.3013 0.2636
17 7.169 0.3013 0.2636
18 7.1188 0.7869 0.5649
19 7.0435 0.113 0.1958
20 6.6167 0.7768 0.6653
21 6.9682 0.0879 0.1255
22 7.2193 0.2385 0.2034
23 6.2652 0.2887 0.2636
24 5.9765 0.6779 0.6151
25 6.5414 0.477 0.4519
26 5.9137 0.5649 0.4519
27 6.4786 0.2511 0.2511
28 6.4284 0.3138 0.3641
29 6.0267 0.3013 0.3389
30 6.4284 0.3013 0.2887
31 5.6877 0.5272 0.477
32 5.4743 0.6277 0.6026
34 6.0267 0.6779 0.6779
35 5.4743 0.5775 0.5855
36 6.0894 0.5167 0.4896
37 7.3448 0.3389 0.2887
38 7.3322 0.5996 0.4017
39 10.1317 0.4288 0.6151
41 9.0395 0.2747 0.2511
42 8.7006 0.0829 0.0879
44 8.1733 0.3641 0.2727
45 7.6837 0.4268 0.3515
48 8.9726 0.0837 0.0835
49 8.3491 0.1255 0.1883
50 8.4118 0.3841 0.2762
52 8.098 0.3013 0.2636
53 7.872 0.0627 0.1129
55 7.6963 0.1933 0.2009
56 7.0058 0.138 0.0628
57 7.0937 0.2224 0.0502
58 7.3699 0.2636 0.2134
59 7.395 0.2134 0.2134
60 6.7046 0.1004 0.1883
61 7.0435 0.0879 0.113
62 6.7924 0.3138 0.3751
63 6.3782 0.226 0.1506
64 6.9431 0.0876 0.0753
65 6.9305 0.0627 0.0751
66 6.5288 0.0753 0.1003
67 6.9682 0.0627 0.0753
68 6.2903 0.2636 0.226
69 7.5205 0.1757 0.1255
70 6.9807 0.0876 0.0877
71 6.9305 0.0502 0.1004
72 6.9933 0.1004 0.1185
73 6.9054 0.0876 0.0751
75 7.1565 0.0879 0.0628
76 5.876 0.5021 0.4394
77 6.8803 0.2511 0.2892
78 6.5288 0.0751 0.1253
79 6.2401 0.1255 0.1506
80 6.4284 0.1506 0.1506
81 6.8803 0.0879 0.1506
82 7.3197 0.1506 0.2009
84 8.0729 0.1506 0.113
86 6.579 0.1883 0.1632
87 6.3782 0.1506 0.1632
88 6.6795 0.1506 0.1381
89 6.6292 0.1506 0.1381
90 6.918 0.2385 0.3013
91 6.5163 0.1381 0.1255
92 6.6795 0.1004 0.1004
93 6.5288 0.0753 0.0753
94 6.9431 0.113 0.1145
96 6.328 1.3864 0.5062
97 5.9011 0.1 0.1
98 6.1648 0.0752 0.0753
99 6.5163 0.1506 0.1381
101 7.4076 0.5775 0.5398
103 7.9976 0.3892 0.3515
105 8.4872 0.2762 0.2511
106 8.6127 0.1255 0.1255
109 9.3282 0.4419 0.3766
112 7.3825 0.2009 0.2009
116 6.579 0.3892 0.3641
117 6.8678 0.5719 0.5775
119 9.9685 0.5272 0.6277
120 10.5083 0.5272 0.59
124 9.981 0.7407 0.7678
126 8.801 0.1632 0.2511
127 6.9305 0.1381 0.2009
128 7.0812 0.2009 0.2686
129 8.7884 0.6402 0.4645
130 7.985 0.5021 0.4519
131 8.1357 0.6653 0.3766
133 8.2235 0.3389 0.3013
135 7.2193 1.986 0.3766
136 7.5582 0.1506 0.1381
137 6.8803 0.1913 0.1757
138 7.3071 0.3892 0.3389
142 8.0478 0.5147 0.3902
143 7.872 0.1632 0.113
144 6.7924 0.3058 0.3766
145 7.8469 0.3515 0.2887
